epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3511,1.55309,2.8113,1.56767,0.02841,0.95213,0.36168,0.18585,1.5621,2.62067,1.39446,0.0004,0.0004,0.0004
2,27.5571,1.42459,1.53248,1.41157,0.7147,0.64362,0.70167,0.39513,1.52248,1.55872,1.39831,0.000803764,0.000803764,0.000803764
3,40.4088,1.46861,1.36808,1.44024,0.68108,0.55851,0.60026,0.31107,1.62425,1.96037,1.46231,0.0011909,0.0011909,0.0011909
4,52.8084,1.46561,1.36581,1.40613,0.71765,0.67553,0.70149,0.38384,1.51,1.46559,1.38579,0.0015614,0.0015614,0.0015614
5,64.5811,1.46666,1.27219,1.36804,0.71936,0.73404,0.77288,0.41311,1.57124,1.55729,1.38119,0.0018416,0.0018416,0.0018416
6,75.8278,1.46394,1.25562,1.36739,0.75438,0.7234,0.79865,0.44258,1.46475,1.55419,1.28986,0.001802,0.001802,0.001802
7,87.42,1.50528,1.24314,1.38122,0.75604,0.7234,0.83016,0.4588,1.48568,1.55984,1.34556,0.0017624,0.0017624,0.0017624
8,99.0272,1.43412,1.24679,1.39417,0.73878,0.79732,0.84017,0.48973,1.3805,1.20925,1.28888,0.0017228,0.0017228,0.0017228
9,110.373,1.42803,1.13789,1.34362,0.73216,0.8724,0.82869,0.47428,1.40659,1.0817,1.26383,0.0016832,0.0016832,0.0016832
10,121.668,1.40867,1.20174,1.32732,0.81776,0.78723,0.84881,0.49089,1.38748,1.07427,1.25126,0.0016436,0.0016436,0.0016436
11,132.761,1.41575,1.11005,1.33913,0.85545,0.81843,0.90104,0.50902,1.3971,0.99853,1.25453,0.001604,0.001604,0.001604
12,145.252,1.41434,1.14715,1.34773,0.85522,0.7766,0.87603,0.48113,1.43379,1.08547,1.26996,0.0015644,0.0015644,0.0015644
13,156.632,1.41329,1.14936,1.30654,0.72637,0.79074,0.75463,0.40032,1.48317,1.12601,1.30077,0.0015248,0.0015248,0.0015248
14,167.862,1.41804,1.06749,1.32821,0.8654,0.8883,0.90441,0.51831,1.40822,1.07325,1.30152,0.0014852,0.0014852,0.0014852
15,179.524,1.40188,1.08694,1.31666,0.82209,0.90943,0.90633,0.53567,1.38142,1.01629,1.26033,0.0014456,0.0014456,0.0014456
16,190.765,1.31414,1.01668,1.29377,0.81943,0.89894,0.88318,0.51011,1.4215,1.00272,1.26796,0.001406,0.001406,0.001406
17,202.232,1.34972,1.01973,1.27588,0.81637,0.89864,0.88833,0.48758,1.46718,1.00348,1.29558,0.0013664,0.0013664,0.0013664
18,214.253,1.35031,1.00589,1.2977,0.84912,0.85106,0.89692,0.51445,1.42879,1.0032,1.31515,0.0013268,0.0013268,0.0013268
19,226.245,1.32218,0.96836,1.2901,0.82986,0.87766,0.90432,0.51204,1.41376,1.00647,1.31288,0.0012872,0.0012872,0.0012872
20,238.055,1.31422,0.98803,1.29631,0.83177,0.86702,0.89405,0.50907,1.39216,0.96174,1.2976,0.0012476,0.0012476,0.0012476
21,249.776,1.31847,0.97268,1.28698,0.83917,0.85638,0.89267,0.48445,1.48222,0.96725,1.32645,0.001208,0.001208,0.001208
22,261.785,1.35199,0.97483,1.30414,0.86485,0.85098,0.91557,0.51499,1.42838,0.94195,1.30716,0.0011684,0.0011684,0.0011684
23,275.402,1.28972,0.98515,1.26227,0.82517,0.89362,0.91856,0.53643,1.35495,0.91674,1.26944,0.0011288,0.0011288,0.0011288
24,288.95,1.31479,0.95549,1.28332,0.82487,0.89362,0.85291,0.47845,1.39668,0.9875,1.28328,0.0010892,0.0010892,0.0010892
25,301.441,1.2889,0.95196,1.25394,0.82754,0.88298,0.89444,0.49641,1.43347,0.96137,1.30718,0.0010496,0.0010496,0.0010496
26,312.617,1.29248,0.92233,1.25831,0.86546,0.8617,0.91158,0.51406,1.40923,0.93931,1.30245,0.00101,0.00101,0.00101
27,324.121,1.23834,0.89197,1.23664,0.84986,0.87313,0.89735,0.5117,1.38989,0.94326,1.3146,0.0009704,0.0009704,0.0009704
28,335.68,1.26938,0.91626,1.26839,0.81803,0.89894,0.89659,0.50022,1.43355,0.93545,1.32642,0.0009308,0.0009308,0.0009308
29,348.675,1.25464,0.89049,1.24134,0.84824,0.84574,0.89575,0.50937,1.3928,0.90864,1.28723,0.0008912,0.0008912,0.0008912
30,360.984,1.26256,0.93632,1.26336,0.77099,0.92553,0.86987,0.49989,1.38093,0.96817,1.28632,0.0008516,0.0008516,0.0008516
31,372.484,1.24507,0.85197,1.22783,0.79945,0.91175,0.8922,0.5079,1.3709,0.95317,1.28636,0.000812,0.000812,0.000812
32,383.779,1.25713,0.91931,1.25594,0.81105,0.89043,0.90652,0.50602,1.42311,0.93993,1.32402,0.0007724,0.0007724,0.0007724
33,395.625,1.20972,0.85577,1.22562,0.88541,0.84043,0.91309,0.50336,1.4505,0.91101,1.32775,0.0007328,0.0007328,0.0007328
34,406.966,1.23477,0.86807,1.22314,0.87331,0.8617,0.91298,0.54165,1.3475,0.87097,1.2367,0.0006932,0.0006932,0.0006932
35,418.406,1.22282,0.84486,1.21814,0.81838,0.8868,0.88596,0.52326,1.33015,0.90629,1.22196,0.0006536,0.0006536,0.0006536
36,429.807,1.19395,0.8056,1.17644,0.81566,0.8944,0.88064,0.52375,1.32044,0.9064,1.22425,0.000614,0.000614,0.000614
37,441.073,1.18751,0.85274,1.21657,0.8336,0.87766,0.88857,0.50159,1.41435,0.92681,1.299,0.0005744,0.0005744,0.0005744
38,452.785,1.22638,0.81718,1.18719,0.82111,0.90426,0.89845,0.49875,1.44281,0.92828,1.32692,0.0005348,0.0005348,0.0005348
39,464.567,1.21488,0.86871,1.23484,0.83764,0.88298,0.90514,0.51767,1.41143,0.8919,1.30384,0.0004952,0.0004952,0.0004952
40,476.724,1.17281,0.83319,1.1961,0.82389,0.89362,0.9089,0.53685,1.34243,0.82946,1.25064,0.0004556,0.0004556,0.0004556
41,488.068,1.16467,0.89711,1.16878,0.82492,0.90225,0.8984,0.52745,1.34906,0.8532,1.25433,0.000416,0.000416,0.000416
42,499.292,1.12147,0.80885,1.16127,0.81965,0.90426,0.8996,0.52847,1.35802,0.87115,1.27024,0.0003764,0.0003764,0.0003764
43,510.594,1.14462,0.80043,1.16604,0.85687,0.88298,0.91255,0.51892,1.39759,0.87949,1.30863,0.0003368,0.0003368,0.0003368
44,521.622,1.14356,0.83333,1.17008,0.85674,0.89362,0.91997,0.52083,1.41266,0.87494,1.31924,0.0002972,0.0002972,0.0002972
45,532.515,1.13069,0.79162,1.17758,0.87073,0.89362,0.91811,0.51573,1.41796,0.87516,1.32229,0.0002576,0.0002576,0.0002576
46,543.716,1.12305,0.75543,1.14318,0.87628,0.89362,0.91265,0.52219,1.3867,0.85526,1.29732,0.000218,0.000218,0.000218
47,554.715,1.11623,0.73998,1.16689,0.86708,0.91489,0.91317,0.52474,1.3727,0.84057,1.28315,0.0001784,0.0001784,0.0001784
48,566.09,1.07239,0.72616,1.11316,0.86327,0.90678,0.91162,0.52295,1.36961,0.84273,1.27728,0.0001388,0.0001388,0.0001388
49,577.554,1.11579,0.75394,1.17279,0.84708,0.90426,0.90842,0.52248,1.36783,0.83113,1.27463,9.92e-05,9.92e-05,9.92e-05
50,588.816,1.09116,0.73452,1.14586,0.83669,0.93085,0.90181,0.51747,1.36848,0.83265,1.27627,5.96e-05,5.96e-05,5.96e-05
