epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1531,1.55309,2.8113,1.56767,0.02841,0.95213,0.36168,0.18585,1.5621,2.62067,1.39446,0.0004,0.0004,0.0004
2,23.5039,1.42468,1.53162,1.41175,0.70875,0.6383,0.6988,0.39225,1.52232,1.55268,1.40431,0.000809853,0.000809853,0.000809853
3,34.9915,1.47104,1.365,1.4424,0.70942,0.55851,0.61705,0.33123,1.58867,1.87372,1.43084,0.00120931,0.00120931,0.00120931
4,46.2382,1.46583,1.36263,1.40655,0.7079,0.69681,0.71312,0.39525,1.49445,1.45112,1.39483,0.00159837,0.00159837,0.00159837
5,57.1007,1.46582,1.27723,1.3667,0.69118,0.6905,0.70762,0.38495,1.53093,1.57497,1.36286,0.001901,0.001901,0.001901
6,67.9921,1.46194,1.27145,1.3766,0.80233,0.69091,0.79273,0.4433,1.43916,1.64022,1.31889,0.00187625,0.00187625,0.00187625
7,79.0983,1.50981,1.26242,1.40031,0.77084,0.68085,0.79851,0.43311,1.51096,1.96581,1.43293,0.0018515,0.0018515,0.0018515
8,90.3382,1.43438,1.25965,1.39316,0.7884,0.81383,0.83474,0.48973,1.38122,1.15844,1.30913,0.00182675,0.00182675,0.00182675
9,101.389,1.43428,1.15243,1.35069,0.83897,0.80319,0.85574,0.49084,1.394,1.06696,1.27844,0.001802,0.001802,0.001802
10,113.079,1.41276,1.20775,1.3382,0.811,0.85638,0.86964,0.50969,1.38079,1.07995,1.2652,0.00177725,0.00177725,0.00177725
11,124.005,1.40798,1.12334,1.34342,0.84738,0.82696,0.90099,0.52009,1.38084,0.98781,1.25672,0.0017525,0.0017525,0.0017525
12,134.97,1.41075,1.14646,1.34239,0.83495,0.80851,0.88443,0.4922,1.44894,1.0117,1.29075,0.00172775,0.00172775,0.00172775
13,145.852,1.41235,1.15693,1.3145,0.51236,0.88861,0.58692,0.32434,1.47374,1.29233,1.33053,0.001703,0.001703,0.001703
14,157.284,1.40678,1.07735,1.33903,0.85055,0.8617,0.91064,0.53322,1.35982,0.98956,1.27778,0.00167825,0.00167825,0.00167825
15,168.895,1.3913,1.09955,1.31497,0.84058,0.87234,0.88936,0.50162,1.42798,1.00865,1.27445,0.0016535,0.0016535,0.0016535
16,180.111,1.31782,1.02477,1.29504,0.83445,0.87234,0.87521,0.49246,1.41478,1.04492,1.25815,0.00162875,0.00162875,0.00162875
17,191.886,1.34787,1.02261,1.28474,0.86316,0.85106,0.87457,0.48544,1.44509,1.08805,1.29836,0.001604,0.001604,0.001604
18,203.017,1.33892,1.01352,1.29485,0.83358,0.88298,0.89831,0.49895,1.46,1.0636,1.31606,0.00157925,0.00157925,0.00157925
19,213.954,1.33262,0.97769,1.29308,0.83307,0.87601,0.88214,0.47304,1.50313,1.06209,1.35875,0.0015545,0.0015545,0.0015545
20,225.073,1.32311,1.00363,1.29971,0.84841,0.83357,0.87541,0.48903,1.42608,1.02902,1.31058,0.00152975,0.00152975,0.00152975
21,236.206,1.32955,0.99194,1.30135,0.86273,0.8692,0.89485,0.48311,1.51062,0.96954,1.35628,0.001505,0.001505,0.001505
22,247.099,1.36671,1.00216,1.317,0.83424,0.8834,0.91563,0.51978,1.44515,0.94446,1.31458,0.00148025,0.00148025,0.00148025
